Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,0.099001,0.106877,0.096811,0.105001,0.105001,357564923
2020-07-15,0.105028,0.104784,0.101242,0.103550,0.103550,232470440
2020-07-16,0.103572,0.105343,0.095369,0.100266,0.100266,337470140
2020-07-17,0.100299,0.100668,0.097067,0.097451,0.097451,184569013
2020-07-18,0.097309,0.098928,0.094286,0.097466,0.097466,176134458
2020-07-19,0.097471,0.099120,0.096464,0.098402,0.098402,126480008
2020-07-20,0.098411,0.098720,0.092361,0.093132,0.093132,139219034
2020-07-21,0.093116,0.097863,0.092252,0.096581,0.096581,164098837
2020-07-22,0.096594,0.097635,0.094841,0.097350,0.097350,124004731
2020-07-23,0.097385,0.098884,0.097092,0.097237,0.097237,158368999
2020-07-24,0.097351,0.097477,0.094634,0.095288,0.095288,155343750
2020-07-25,0.095318,0.113103,0.095318,0.112245,0.112245,492781378
2020-07-26,0.111770,0.120161,0.110453,0.115730,0.115730,580649779
2020-07-27,0.115561,0.116595,0.101202,0.107681,0.107681,578657463
2020-07-28,0.107673,0.116195,0.105313,0.114980,0.114980,493722860
2020-07-29,0.115018,0.115518,0.107166,0.107743,0.107743,348091380
2020-07-30,0.107811,0.108634,0.105439,0.107155,0.107155,196319041
2020-07-31,0.107219,0.107421,0.104201,0.106072,0.106072,176274084
2020-08-01,0.106072,0.111444,0.105842,0.109720,0.109720,277009411
2020-08-02,0.109860,0.112408,0.099488,0.101929,0.101929,321677336
2020-08-03,0.101924,0.105541,0.101224,0.105004,0.105004,189906504
2020-08-04,0.105002,0.112988,0.104638,0.109289,0.109289,287399034
2020-08-05,0.109374,0.110934,0.107896,0.108703,0.108703,209362333
2020-08-06,0.108710,0.110778,0.107057,0.109648,0.109648,212078671
2020-08-07,0.109673,0.111800,0.103505,0.106632,0.106632,475517052
2020-08-08,0.106582,0.112939,0.105845,0.111709,0.111709,249446462
2020-08-09,0.112119,0.116485,0.109492,0.111283,0.111283,327065100
2020-08-10,0.111388,0.112198,0.109292,0.110014,0.110014,238479173
2020-08-11,0.109902,0.110650,0.102273,0.105299,0.105299,455928461
2020-08-12,0.105290,0.106490,0.095723,0.105318,0.105318,333082144
2020-08-13,0.105395,0.109652,0.102161,0.108075,0.108075,360098373
2020-08-14,0.108131,0.109064,0.105494,0.105710,0.105710,271831496
2020-08-15,0.105669,0.107463,0.104943,0.105684,0.105684,262487473
2020-08-16,0.105716,0.106344,0.104255,0.105655,0.105655,217127070
2020-08-17,0.105655,0.109968,0.105590,0.107522,0.107522,324756447
2020-08-18,0.107445,0.109021,0.102934,0.103685,0.103685,257044004
2020-08-19,0.103685,0.104061,0.097822,0.098609,0.098609,292366534
2020-08-20,0.098635,0.101311,0.097557,0.101089,0.101089,237542928
2020-08-21,0.101009,0.101191,0.094076,0.094560,0.094560,277380101
2020-08-22,0.094550,0.096065,0.091705,0.095707,0.095707,226211197
2020-08-23,0.095612,0.096003,0.092057,0.092867,0.092867,177366571
2020-08-24,0.092856,0.096140,0.092307,0.095242,0.095242,212705447
2020-08-25,0.095270,0.095346,0.082563,0.086141,0.086141,328360159
2020-08-26,0.086182,0.089130,0.084651,0.087218,0.087218,238130312
2020-08-27,0.087197,0.087847,0.079143,0.080931,0.080931,274204545
2020-08-28,0.080969,0.082994,0.080605,0.081981,0.081981,206479826
2020-08-29,0.081997,0.088118,0.081478,0.087418,0.087418,236285443
2020-08-30,0.087385,0.088668,0.085601,0.087920,0.087920,222383477
2020-08-31,0.087961,0.094564,0.085400,0.091809,0.091809,339403370
2020-09-01,0.091750,0.095131,0.089796,0.093598,0.093598,336817543
2020-09-02,0.093647,0.094413,0.084063,0.086614,0.086614,320190477
2020-09-03,0.086558,0.087314,0.072041,0.072500,0.072500,366724822
2020-09-04,0.072375,0.078328,0.070805,0.077148,0.077148,387547366
2020-09-05,0.077106,0.078290,0.065819,0.067719,0.067719,362358749
2020-09-06,0.067719,0.071627,0.065395,0.070261,0.070261,343214008
2020-09-07,0.070271,0.070803,0.066067,0.070918,0.070918,351971499
2020-09-08,0.070845,0.073501,0.068591,0.070189,0.070189,470506718
2020-09-09,0.070296,0.073627,0.069302,0.071812,0.071812,440509081
2020-09-10,0.071877,0.077812,0.071877,0.075856,0.075856,631830055
2020-09-11,0.075856,0.076222,0.072826,0.075802,0.075802,602733156
2020-09-12,0.075898,0.077147,0.074498,0.076278,0.076278,546474395
2020-09-13,0.076278,0.077961,0.072636,0.074083,0.074083,602673693
2020-09-14,0.074122,0.076179,0.073079,0.075312,0.075312,662847296
2020-09-15,0.075344,0.076229,0.072438,0.072588,0.072588,631448769
2020-09-16,0.072512,0.072703,0.069256,0.070719,0.070719,634594403
2020-09-17,0.070723,0.072827,0.070240,0.072609,0.072609,636270400
2020-09-18,0.072609,0.072609,0.069690,0.070515,0.070515,541355373
2020-09-19,0.070363,0.072055,0.070168,0.070961,0.070961,478300006
2020-09-20,0.070965,0.071413,0.068410,0.069151,0.069151,528026215
2020-09-21,0.069171,0.069694,0.061273,0.062740,0.062740,442064113
2020-09-22,0.062756,0.065174,0.062728,0.064158,0.064158,248698030
2020-09-23,0.064158,0.064937,0.060021,0.060430,0.060430,231883605
2020-09-24,0.060411,0.065532,0.059789,0.064988,0.064988,292727787
2020-09-25,0.064992,0.077296,0.064945,0.076037,0.076037,516183581
2020-09-26,0.076024,0.078068,0.072993,0.074971,0.074971,343907110
2020-09-27,0.074992,0.080242,0.074467,0.079289,0.079289,387852558
2020-09-28,0.079289,0.082966,0.078033,0.078218,0.078218,445268499
2020-09-29,0.078224,0.080286,0.076227,0.078614,0.078614,350103615
2020-09-30,0.078599,0.078430,0.075870,0.078308,0.078308,306817145
2020-10-01,0.078351,0.080624,0.074456,0.075957,0.075957,387872894
2020-10-02,0.075969,0.077609,0.069951,0.071828,0.071828,465803245
2020-10-03,0.071828,0.073575,0.071624,0.072435,0.072435,258290092
2020-10-04,0.072435,0.074837,0.071816,0.074483,0.074483,373112669
2020-10-05,0.074483,0.076395,0.074395,0.075186,0.075186,333120906
2020-10-06,0.075144,0.075869,0.071552,0.072114,0.072114,608277457
2020-10-07,0.072114,0.073052,0.069984,0.072727,0.072727,325489576
2020-10-08,0.072733,0.074767,0.070196,0.074378,0.074378,353608974
2020-10-09,null,null,null,null,null,null
2020-10-10,0.077780,0.084715,0.077764,0.080488,0.080488,707910078
2020-10-11,0.080394,0.083431,0.079995,0.081759,0.081759,612002965
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.084500,0.086005,0.081179,0.082459,0.082459,548154231
2020-10-15,0.082398,0.083278,0.080978,0.082648,0.082648,435731004
2020-10-16,0.082735,0.083251,0.079300,0.080576,0.080576,428619638
2020-10-17,0.080695,0.082833,0.080035,0.082155,0.082155,365470815
2020-10-18,0.082109,0.083262,0.081537,0.083078,0.083078,334864459
2020-10-19,0.083099,0.085426,0.082143,0.083936,0.083936,379045785
2020-10-20,0.083887,0.084014,0.078205,0.079110,0.079110,546434541
2020-10-21,0.079129,0.082218,0.078574,0.080877,0.080877,593639260
2020-10-22,0.080778,0.085926,0.080348,0.084548,0.084548,713668564
2020-10-23,0.084645,0.085497,0.081045,0.082865,0.082865,851761107
2020-10-24,0.082865,0.084061,0.082434,0.082845,0.082845,665512755
2020-10-25,0.082845,0.083346,0.081361,0.081476,0.081476,553700909
2020-10-26,0.081476,0.082371,0.076354,0.079212,0.079212,676296440
2020-10-27,0.079212,0.080737,0.078262,0.078908,0.078908,701029706
2020-10-28,0.078909,0.079327,0.073684,0.076200,0.076200,674964485
2020-10-29,0.076200,0.077396,0.073468,0.073756,0.073756,682889375
2020-10-30,0.073757,0.073938,0.069969,0.072111,0.072111,660938022
2020-10-31,0.072111,0.073596,0.071231,0.071886,0.071886,511851672
2020-11-01,0.071886,0.076201,0.071729,0.075969,0.075969,471582085
2020-11-02,0.075969,0.077323,0.070978,0.071308,0.071308,632845571
2020-11-03,0.071308,0.071560,0.068144,0.071216,0.071216,655211903
2020-11-04,0.071216,0.073914,0.070903,0.073554,0.073554,803445677
2020-11-05,0.073554,0.074333,0.070452,0.073819,0.073819,422005662
2020-11-06,0.073818,0.083361,0.073552,0.082938,0.082938,545595558
2020-11-07,0.082938,0.086025,0.075552,0.077050,0.077050,655018453
2020-11-08,0.077050,0.082309,0.076138,0.080896,0.080896,474801555
2020-11-09,0.080896,0.081939,0.077270,0.079992,0.079992,609302988
2020-11-10,0.079992,0.082224,0.078435,0.079788,0.079788,528438018
2020-11-11,0.079788,0.082098,0.079581,0.080127,0.080127,477582742
2020-11-12,0.080127,0.080781,0.078421,0.079662,0.079662,483400294
2020-11-13,0.079662,0.081904,0.079317,0.080630,0.080630,362136417
2020-11-14,0.080630,0.080971,0.077102,0.078971,0.078971,327756059
2020-11-15,0.078971,0.079622,0.074925,0.076045,0.076045,271031787
2020-11-16,0.076045,0.079535,0.075428,0.078666,0.078666,302915737
2020-11-17,0.079780,0.084415,0.079503,0.082675,0.082675,469625266
2020-11-18,0.082675,0.084132,0.078079,0.080269,0.080269,522553372
