Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,5.715286,6.570995,5.611520,6.447806,6.447806,939489338
2020-07-15,6.448214,6.927753,6.250556,6.865068,6.865068,923626642
2020-07-16,6.862533,6.971503,6.396640,6.638899,6.638899,872759431
2020-07-17,6.646913,6.815918,6.540293,6.587947,6.587947,548172197
2020-07-18,6.583387,6.583387,6.201918,6.333883,6.333883,583535355
2020-07-19,6.333557,6.499828,6.213651,6.415197,6.415197,442029357
2020-07-20,6.416475,6.472743,5.722365,5.743896,5.743896,532816557
2020-07-21,5.735179,6.014444,5.546372,5.719205,5.719205,538191041
2020-07-22,5.716705,5.973334,5.577747,5.865832,5.865832,503677584
2020-07-23,5.865198,6.322507,5.828912,6.186252,6.186252,571013916
2020-07-24,6.186401,6.203984,5.790720,5.810227,5.810227,438137765
2020-07-25,5.814167,6.073948,5.790417,5.986649,5.986649,443343526
2020-07-26,5.985373,6.178853,5.731587,5.859647,5.859647,541612642
2020-07-27,5.853342,5.853461,5.107927,5.505882,5.505882,715136451
2020-07-28,5.502914,5.751699,5.370147,5.589246,5.589246,458615343
2020-07-29,5.588979,5.779691,5.413340,5.481220,5.481220,444498857
2020-07-30,5.480065,5.773972,5.428180,5.653135,5.653135,461755192
2020-07-31,5.650338,5.966206,5.650338,5.940207,5.940207,515509256
2020-08-01,5.940207,6.408972,5.845572,6.346375,6.346375,578926165
2020-08-02,6.349280,6.630397,5.712402,6.315418,6.315418,978500121
2020-08-03,6.315252,7.036997,6.249069,7.007228,7.007228,722287804
2020-08-04,7.007036,7.598748,6.959668,7.505494,7.505494,1070144981
2020-08-05,7.513367,7.528237,7.163271,7.281769,7.281769,732153946
2020-08-06,7.278203,7.736811,7.224298,7.718691,7.718691,708645359
2020-08-07,7.724524,7.779305,7.164013,7.711385,7.711385,830912764
2020-08-08,7.723883,10.500486,7.655681,9.723536,9.723536,1902881039
2020-08-09,9.740305,11.005640,9.295702,10.614035,10.614035,2106408223
2020-08-10,10.606554,10.668240,9.851721,10.279126,10.279126,1503219511
